Country,constant,multiplier
Antigua and Barbuda,997.29983,48.42866
Barbados ,1202.3256,170.56317
Belize,-13357.00243,258.70786
Aruba,-2405.67554,857.06074
Dominican Republic ,-9559.41069,346.65317
Haiti,-22787.12665,892.92311
Puerto Rico,-125845.5885,1444.91034
Cayman Islands ,1178.01312,47.71829
Dominica,47.8283,26.65782
Jamaica,-1.42471,562.10906
Trinidad and Tobago ,30375.92715,36.77576
Saint Vincent and the Grenadines,-169.4052,394.58535
Saint Kitts and Nevis,-31.86487,533.74284
Saint Lucia,40.25205,111.1567